lat,lon,BTS-1,BTS-2,BTS-3,BTS-4,BTS-5,BTS-6
-8.07757,-34.90683,151.43886805485815,140.59406583898334,71.38972658480043,140.594064163609,158.90068771268258,153.44805431284726
-8.07757,-34.9066166372549,151.06929227252618,139.99322116161335,74.44784234863891,139.99321945756287,158.60447940255057,153.16329821157248
-8.07757,-34.906403274509806,150.69749914535316,139.3820065873854,77.44621816703045,139.38200485368074,158.30688580818756,152.87892645286746
-8.07757,-34.906189911764706,150.32351751503947,138.76006559000925,80.33953670641324,138.76006382562275,158.0079234895758,152.59503648010573
-8.07757,-34.905976549019606,149.94738041192736,138.12702338914238,83.10610964717017,138.12702159299332,157.7076107923769,152.3117301993159
-8.07757,-34.90576318627451,149.56912536158376,137.4824857197029,85.73841501522182,137.48248389065395,157.40596795031917,152.02911409247523
-8.07757,-34.90554982352941,149.18879471009478,136.82603749966643,88.23702465589346,136.82603563651972,157.10301719247502,151.7472993261339
-8.07757,-34.90533646078431,148.80643596898105,136.15724138686892,90.60688443536989,136.15723948836188,156.79878285567793,151.46640185445636
-8.07757,-34.90512309803921,148.42210218026327,135.47563621372234,92.85510098768466,135.47563427852305,156.49329150204167,151.186542515422
-8.07757,-34.90490973529412,148.03585230261294,134.780735288396,94.9896552001498,134.78073331509827,156.18657204189012,150.9078471191726
-8.07757,-34.90469637254902,147.6477516191141,134.07202454918897,97.01867371879209,134.07202253630686,155.8786558621145,150.6304465271479
-8.07757,-34.90448300980392,147.2578721674522,133.34896055812325,98.95003216482874,133.34895850408532,155.5695769602492,150.35447672082628
-8.07757,-34.904269647058825,146.8662931928042,132.6109683175297,100.79115351408217,132.61096622067242,155.2593720841875,150.08007885848153
-8.07757,-34.904056284313725,146.47310162394774,131.85743889246126,102.54891990596914,131.8574367510221,154.94808087772546,149.80739931854674
-8.07757,-34.903842921568625,146.0783925729707,131.08772682011667,104.22964915599306,131.0877246322266,154.63574603210856,149.5365897280967
-8.07757,-34.90362955882353,145.682269858434,130.30114728499274,105.83910701677999,130.30114504866785,154.32241344344953,149.2678069746451
-8.07757,-34.90341619607843,145.28484655198457,129.4969730372631,107.38253806118146,129.49697075039552,154.00813237614042,149.00121319963668
-8.07757,-34.90320283333333,144.88624554816906,128.6744310300121,108.86470514651168,128.67442869036023,153.69295563235076,148.73697577195662
-8.07757,-34.90298947058823,144.48660015653718,127.83269874832018,110.28993166769735,127.8326963534978,153.37693972737563,148.47526723948857
-8.07757,-34.90277610784314,144.0860547152408,126.97090020235785,111.66214334993015,126.97089774982231,153.06014507092195,148.2162652570359
-8.07757,-34.90256274509804,143.68476522456882,126.0881015544125,112.98490785244582,126.08809904145215,152.74263615408006,147.96015248866038
